"team","season","qb_name","coach","line","line_adj","over_odds","under_odds","team_nick","team_color","team_color2","team_logo_espn","wins","total_outcome","hold","over_probability","under_probability","unique_id","wt_rating","sos_projected"
"TB","2003","Brad Johnson","Jon Gruden","10.5","10.5","-115","-115","Buccaneers","#A71930","#322F2B","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png","7","Under","0.069767445","0.5","0.5","TB2003","4.8683476","0.1253041"
"PHI","2003","Donovan McNabb","Andy Reid","10.5","10.333267","130","-160","Eagles","#004C54","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png","12","Over","0.050167225","0.41401273","0.58598727","PHI2003","3.0165472","0.94918454"
"GB","2003","Brett Favre","Mike Sherman","10.0","9.833267","130","-160","Packers","#203731","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","10","Push","0.050167225","0.41401273","0.58598727","GB2003","1.7178512","0.32281676"
"OAK","2003","Rick Mirer","Bill Callahan","9.5","9.633247","-150","120","Raiders","#000000","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/lv.png","4","Under","0.054545455","0.5689655","0.43103448","OAK2003","3.6725688","0.65344757"
"PIT","2003","Tommy Maddox","Bill Cowher","9.5","9.633247","-150","120","Steelers","#000000","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","6","Under","0.054545455","0.5689655","0.43103448","PIT2003","3.028816","-0.06340026"
"MIA","2003","Jay Fiedler","Dave Wannstedt","9.5","9.615639","-145","115","Dolphins","#008E97","#F58220","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","10","Over","0.056953013","0.5599461","0.44005388","MIA2003","3.3078933","0.30261132"
"TEN","2003","Steve McNair","Jeff Fisher","9.5","9.578485","-135","105","Titans","#002244","#4B92DB","https://a.espncdn.com/i/teamlogos/nfl/500/ten.png","12","Over","0.062272962","0.5407914","0.4592086","TEN2003","1.1516018","0.041967936"
"LAR","2003","Marc Bulger","Mike Martz","9.5","9.558842","-130","100","Rams","#003594","#FFD100","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png","12","Over","0.06521739","0.53061223","0.46938777","LAR2003","1.0763003","-0.75769335"
"DEN","2003","Jake Plummer","Mike Shanahan","9.5","9.519434","-120","-110","Broncos","#002244","#FB4F14","https://a.espncdn.com/i/teamlogos/nfl/500/den.png","10","Over","0.06926407","0.51012146","0.48987854","DEN2003","2.226804","0.39102116"
"ATL","2003","Doug Johnson","Dan Reeves","9.5","9.5","-115","-115","Falcons","#A71930","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","5","Under","0.069767445","0.5","0.5","ATL2003","2.9990027","0.21762766"
